year,season,trimester,phase,Nino
1966,SON,10,Neutral,0
1966,OND,11,Neutral,0
1966,NDJ,12,Neutral,0
1967,DJF,1,Neutral,0
1967,JFM,2,Neutral,0
1967,FMA,3,Neutral,0
1967,MAM,4,Neutral,0
1967,AMJ,5,Neutral,0
1967,MJJ,6,Neutral,0
1967,JJA,7,Neutral,0
1967,JAS,8,Neutral,0
1967,ASO,9,Neutral,0
1967,SON,10,Neutral,0
1967,OND,11,Neutral,0
1967,NDJ,12,Neutral,0
1968,DJF,1,Neutral,0
1968,JFM,2,Neutral,0
1968,FMA,3,Neutral,0
1968,MAM,4,Neutral,0
1968,AMJ,5,Neutral,0
1968,MJJ,6,Neutral,0
1968,JJA,7,Neutral,0
1968,JAS,8,Neutral,0
1968,ASO,9,Neutral,0
1968,SON,10,Nino,1
1968,OND,11,Nino,1
1968,NDJ,12,Nino,1
1969,DJF,1,Nino,1
1969,JFM,2,Nino,1
1969,FMA,3,Nino,1
1969,MAM,4,Nino,1
1969,AMJ,5,Nino,1
1969,MJJ,6,Neutral,0
1969,JJA,7,Neutral,0
1969,JAS,8,Nino,1
1969,ASO,9,Nino,1
1969,SON,10,Nino,1
1969,OND,11,Nino,1
1969,NDJ,12,Nino,1
1970,DJF,1,Nino,1
1970,JFM,2,Neutral,0
1970,FMA,3,Neutral,0
1970,MAM,4,Neutral,0
1970,AMJ,5,Neutral,0
1970,MJJ,6,Neutral,0
1970,JJA,7,Nina,-1
1970,JAS,8,Nina,-1
1970,ASO,9,Nina,-1
1970,SON,10,Nina,-1
1970,OND,11,Nina,-1
1970,NDJ,12,Nina,-1
1971,DJF,1,Nina,-1
1971,JFM,2,Nina,-1
1971,FMA,3,Nina,-1
1971,MAM,4,Nina,-1
1971,AMJ,5,Nina,-1
1971,MJJ,6,Nina,-1
1971,JJA,7,Nina,-1
1971,JAS,8,Nina,-1
1971,ASO,9,Nina,-1
1971,SON,10,Nina,-1
1971,OND,11,Nina,-1
1971,NDJ,12,Nina,-1
1972,DJF,1,Nina,-1
1972,JFM,2,Neutral,0
1972,FMA,3,Neutral,0
1972,MAM,4,Neutral,0
1972,AMJ,5,Nino,1
1972,MJJ,6,Nino,1
1972,JJA,7,Nino,1
1972,JAS,8,Nino,1
1972,ASO,9,Nino,1
1972,SON,10,Nino,1
1972,OND,11,Nino,1
1972,NDJ,12,Nino,1
1973,DJF,1,Nino,1
1973,JFM,2,Nino,1
1973,FMA,3,Nino,1
1973,MAM,4,Neutral,0
1973,AMJ,5,Nina,-1
1973,MJJ,6,Nina,-1
1973,JJA,7,Nina,-1
1973,JAS,8,Nina,-1
1973,ASO,9,Nina,-1
1973,SON,10,Nina,-1
1973,OND,11,Nina,-1
1973,NDJ,12,Nina,-1
1974,DJF,1,Nina,-1
1974,JFM,2,Nina,-1
1974,FMA,3,Nina,-1
1974,MAM,4,Nina,-1
1974,AMJ,5,Nina,-1
1974,MJJ,6,Nina,-1
1974,JJA,7,Nina,-1
1974,JAS,8,Neutral,0
1974,ASO,9,Neutral,0
1974,SON,10,Nina,-1
1974,OND,11,Nina,-1
1974,NDJ,12,Nina,-1
1975,DJF,1,Nina,-1
1975,JFM,2,Nina,-1
1975,FMA,3,Nina,-1
1975,MAM,4,Nina,-1
1975,AMJ,5,Nina,-1
1975,MJJ,6,Nina,-1
1975,JJA,7,Nina,-1
1975,JAS,8,Nina,-1
1975,ASO,9,Nina,-1
1975,SON,10,Nina,-1
1975,OND,11,Nina,-1
1975,NDJ,12,Nina,-1
1976,DJF,1,Nina,-1
1976,JFM,2,Nina,-1
1976,FMA,3,Nina,-1
1976,MAM,4,Neutral,0
1976,AMJ,5,Neutral,0
1976,MJJ,6,Neutral,0
1976,JJA,7,Neutral,0
1976,JAS,8,Neutral,0
1976,ASO,9,Nino,1
1976,SON,10,Nino,1
1976,OND,11,Nino,1
1976,NDJ,12,Nino,1
1977,DJF,1,Nino,1
1977,JFM,2,Nino,1
1977,FMA,3,Neutral,0
1977,MAM,4,Neutral,0
1977,AMJ,5,Neutral,0
1977,MJJ,6,Neutral,0
1977,JJA,7,Neutral,0
1977,JAS,8,Neutral,0
1977,ASO,9,Nino,1
1977,SON,10,Nino,1
1977,OND,11,Nino,1
1977,NDJ,12,Nino,1
1978,DJF,1,Nino,1
1978,JFM,2,Neutral,0
1978,FMA,3,Neutral,0
1978,MAM,4,Neutral,0
1978,AMJ,5,Neutral,0
1978,MJJ,6,Neutral,0
1978,JJA,7,Neutral,0
1978,JAS,8,Neutral,0
1978,ASO,9,Neutral,0
1978,SON,10,Neutral,0
1978,OND,11,Neutral,0
1978,NDJ,12,Neutral,0
1979,DJF,1,Neutral,0
1979,JFM,2,Neutral,0
1979,FMA,3,Neutral,0
1979,MAM,4,Neutral,0
1979,AMJ,5,Neutral,0
1979,MJJ,6,Neutral,0
1979,JJA,7,Neutral,0
1979,JAS,8,Neutral,0
1979,ASO,9,Neutral,0
1979,SON,10,Neutral,0
1979,OND,11,Neutral,0
1979,NDJ,12,Neutral,0
1980,DJF,1,Neutral,0
1980,JFM,2,Neutral,0
1980,FMA,3,Neutral,0
1980,MAM,4,Neutral,0
1980,AMJ,5,Neutral,0
1980,MJJ,6,Neutral,0
1980,JJA,7,Neutral,0
1980,JAS,8,Neutral,0
1980,ASO,9,Neutral,0
1980,SON,10,Neutral,0
1980,OND,11,Neutral,0
1980,NDJ,12,Neutral,0
1981,DJF,1,Neutral,0
1981,JFM,2,Neutral,0
1981,FMA,3,Neutral,0
1981,MAM,4,Neutral,0
1981,AMJ,5,Neutral,0
1981,MJJ,6,Neutral,0
1981,JJA,7,Neutral,0
1981,JAS,8,Neutral,0
1981,ASO,9,Neutral,0
1981,SON,10,Neutral,0
1981,OND,11,Neutral,0
1981,NDJ,12,Neutral,0
1982,DJF,1,Neutral,0
1982,JFM,2,Neutral,0
1982,FMA,3,Neutral,0
1982,MAM,4,Neutral,0
1982,AMJ,5,Nino,1
1982,MJJ,6,Nino,1
1982,JJA,7,Nino,1
1982,JAS,8,Nino,1
1982,ASO,9,Nino,1
1982,SON,10,Nino,1
1982,OND,11,Nino,1
1982,NDJ,12,Nino,1
1983,DJF,1,Nino,1
1983,JFM,2,Nino,1
1983,FMA,3,Nino,1
1983,MAM,4,Nino,1
1983,AMJ,5,Nino,1
1983,MJJ,6,Nino,1
1983,JJA,7,Neutral,0
1983,JAS,8,Neutral,0
1983,ASO,9,Neutral,0
1983,SON,10,Neutral,0
1983,OND,11,Neutral,0
1983,NDJ,12,Neutral,0
1984,DJF,1,Neutral,0
1984,JFM,2,Neutral,0
1984,FMA,3,Neutral,0
1984,MAM,4,Neutral,0
1984,AMJ,5,Neutral,0
1984,MJJ,6,Neutral,0
1984,JJA,7,Neutral,0
1984,JAS,8,Neutral,0
1984,ASO,9,Neutral,0
1984,SON,10,Nina,-1
1984,OND,11,Nina,-1
1984,NDJ,12,Nina,-1
1985,DJF,1,Nina,-1
1985,JFM,2,Nina,-1
1985,FMA,3,Nina,-1
1985,MAM,4,Nina,-1
1985,AMJ,5,Nina,-1
1985,MJJ,6,Nina,-1
1985,JJA,7,Neutral,0
1985,JAS,8,Neutral,0
1985,ASO,9,Neutral,0
1985,SON,10,Neutral,0
1985,OND,11,Neutral,0
1985,NDJ,12,Neutral,0
1986,DJF,1,Neutral,0
1986,JFM,2,Neutral,0
1986,FMA,3,Neutral,0
1986,MAM,4,Neutral,0
1986,AMJ,5,Neutral,0
1986,MJJ,6,Neutral,0
1986,JJA,7,Neutral,0
1986,JAS,8,Neutral,0
1986,ASO,9,Nino,1
1986,SON,10,Nino,1
1986,OND,11,Nino,1
1986,NDJ,12,Nino,1
1987,DJF,1,Nino,1
1987,JFM,2,Nino,1
1987,FMA,3,Nino,1
1987,MAM,4,Nino,1
1987,AMJ,5,Nino,1
1987,MJJ,6,Nino,1
1987,JJA,7,Nino,1
1987,JAS,8,Nino,1
1987,ASO,9,Nino,1
1987,SON,10,Nino,1
1987,OND,11,Nino,1
1987,NDJ,12,Nino,1
1988,DJF,1,Nino,1
1988,JFM,2,Nino,1
1988,FMA,3,Neutral,0
1988,MAM,4,Neutral,0
1988,AMJ,5,Nina,-1
1988,MJJ,6,Nina,-1
1988,JJA,7,Nina,-1
1988,JAS,8,Nina,-1
1988,ASO,9,Nina,-1
1988,SON,10,Nina,-1
1988,OND,11,Nina,-1
1988,NDJ,12,Nina,-1
1989,DJF,1,Nina,-1
1989,JFM,2,Nina,-1
1989,FMA,3,Nina,-1
1989,MAM,4,Nina,-1
1989,AMJ,5,Nina,-1
1989,MJJ,6,Neutral,0
1989,JJA,7,Neutral,0
1989,JAS,8,Neutral,0
1989,ASO,9,Neutral,0
1989,SON,10,Neutral,0
1989,OND,11,Neutral,0
1989,NDJ,12,Neutral,0
1990,DJF,1,Neutral,0
1990,JFM,2,Neutral,0
1990,FMA,3,Neutral,0
1990,MAM,4,Neutral,0
1990,AMJ,5,Neutral,0
1990,MJJ,6,Neutral,0
1990,JJA,7,Neutral,0
1990,JAS,8,Neutral,0
1990,ASO,9,Neutral,0
1990,SON,10,Neutral,0
1990,OND,11,Neutral,0
1990,NDJ,12,Neutral,0
1991,DJF,1,Neutral,0
1991,JFM,2,Neutral,0
