year,season,trimester,phase,Nino
2023,FMA,3,Neutral,0
2023,MAM,4,Neutral,0
2023,AMJ,5,Neutral,0
2023,MJJ,6,Nino,1
2023,JJA,7,Nino,1
2023,JAS,8,Nino,1
2023,ASO,9,Nino,1
2023,SON,10,Nino,1
2023,OND,11,Nino,1
2023,NDJ,12,Nino,1
2024,DJF,1,Nino,1
2024,JFM,2,Nino,1
2024,FMA,3,Nino,1
2024,MAM,4,Nino,1
2024,AMJ,5,Neutral,0
2024,MJJ,6,Neutral,0
2024,JJA,7,Neutral,0
2024,JAS,8,Neutral,0
2024,ASO,9,Neutral,0
2024,SON,10,Neutral,0
2024,OND,11,Neutral,0
2024,NDJ,12,Neutral,0
2025,DJF,1,Neutral,0
2025,JFM,2,Neutral,0
2025,FMA,3,Neutral,0
2025,MAM,4,Neutral,0
2025,AMJ,5,Neutral,0
2025,MJJ,6,Neutral,0
2025,JJA,7,Neutral,0
2025,JAS,8,Nina,-1
2025,ASO,9,Nina,-1
2025,SON,10,Nina,-1
2025,OND,11,Nina,-1
2025,NDJ,12,Nina,-1
