id_pais;nom_pais;formato_imagen;fecha;direccion_web;;;;
32;Argentina;JPG;Reservas al 19/08/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180819.zip;;;;
32;Argentina;JPG;Reservas al 12/08/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180812.zip;;;;
32;Argentina;JPG;Reservas al 05/08/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180805.zip;;;;
32;Argentina;JPG;Reservas al 29/07/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180729.zip;;;;
32;Argentina;JPG;Reservas al 22/07/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180722.zip;;;;
32;Argentina;JPG;Reservas al 15/07/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180715.zip;;;;
32;Argentina;JPG;Reservas al 15/07/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180715.zip;;;;
32;Argentina;JPG;Reservas al 08/07/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180708.zip;;;;
32;Argentina;JPG;Reservas al 08/07/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180708.zip;;;;
32;Argentina;JPG;Reservas al 01/07/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180701.zip;;;;
32;Argentina;JPG;Reservas al 01/07/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180701.zip;;;;
32;Argentina;JPG;Reservas al 24/06/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180624.zip;;;;
32;Argentina;JPG;Reservas al 24/06/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180624.zip;;;;
32;Argentina;JPG;Reservas al 17/06/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180617.zip;;;;
32;Argentina;JPG;Reservas al 17/06/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180617.zip;;;;
32;Argentina;JPG;Reservas al 10/06/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180610.zip;;;;
32;Argentina;JPG;Reservas al 10/06/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180610.zip;;;;
32;Argentina;JPG;Reservas al 03/06/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180603.zip;;;;
32;Argentina;JPG;Reservas al 03/06/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180603.zip;;;;
32;Argentina;JPG;Reservas al 27/05/2018;http://www.ora.gob.ar/datosabiertos/reservasdeagua/JPG-20180527.zip;;;;
