departamento_nombre,coords,organic_carbon,ph,clay,silt,sand
Chamical,"(-65.8696050277778, -30.002845472222216)",4.52,8.041944444444445,6.0,27.22222222222222,66.97222222222223
Chapaleufú,"(-63.716666890000006, -35.18333311)",6.366666666666667,7.458333333333333,10.083333333333334,18.416666666666668,71.66666666666667
Chascomús,"(-57.84511121338584, -35.523078354173244)",10.412903225806451,8.163779527559054,32.733333333333334,46.88333333333333,20.591666666666665
Chical Co,"(-67.38677014285716, -36.407722285714286)",3.2714285714285714,8.545,5.5,8.0,87.5
Chicligasta,"(-65.63449391666668, -27.34576302777778)",6.12,6.158620689655172,9.676470588235293,33.588235294117645,56.794117647058826
Chicoana,"(-65.43589746153847, -25.152243589230768)",11.146153846153847,6.533333333333334,20.53846153846154,40.23076923076923,39.23076923076923
Chilecito,"(-67.5206300769231, -29.226303384615388)",16.403846153846153,8.815384615384614,8.80952380952381,28.61904761904762,62.857142857142854
Chivilcoy,"(-59.92064349999995, -34.85732974025973)",8.361073825503356,7.186948051948051,23.98639455782313,52.1156462585034,24.027210884353742
Chos Malal,"(-70.29304252380955, -37.20045195238096)",10.841666666666667,7.766666666666667,32.3,21.6,46.2
Choya,"(-64.94672023809524, -28.561506714285727)",9.861904761904762,7.43,10.45,47.7,41.85
Cochinoca,"(-65.93020329999999, -22.862216442857147)",3.414285714285714,7.359999999999999,10.0,14.571428571428571,75.42857142857143
Collón Curá,"(-70.29449640838709, -40.12303591354839)",9.216129032258063,7.47,14.96,16.76,68.48
Colón,"(-60.70948861333329, -33.56080636799994)",9.594594594594595,6.930066666666667,26.163265306122447,54.46938775510204,19.53061224489796
Concepción,"(-58.24625817741942, -28.501555709677415)",3.8322033898305086,5.825806451612903,9.258064516129032,10.53225806451613,80.46774193548387
Concordia,"(-58.22707381854551, -31.327446727272722)",8.954716981132076,6.406,27.604166666666668,32.3125,40.25
Conesa,"(-64.49712079999998, -40.21564057733334)",3.74,7.959999999999999,10.857142857142858,28.785714285714285,60.42857142857143
Confluencia,"(-68.84655698296291, -38.943154729999996)",2.7555555555555555,7.866216216216216,14.830188679245284,19.150943396226417,66.0
Conhelo,"(-64.67777799999999, -36.12222233333333)",8.833333333333334,,,,
Constitución,"(-60.77267605294114, -33.54160540588237)",7.753571428571428,6.829999999999999,27.899408284023668,65.15976331360947,7.118343195266272
Copo,"(-62.73833333333336, -25.968333299999983)",9.313333333333333,,18.655172413793103,38.206896551724135,43.13793103448276
Coronel Dorrego,"(-61.04771799999999, -38.418606999999994)",11.873333333333333,7.206666666666666,40.642857142857146,31.357142857142858,28.071428571428573
Coronel Pringles,"(-65.31176915423731, -33.79166944576271)",10.221610169491527,7.839527896995707,17.27710843373494,38.036144578313255,44.7710843373494
Coronel de Marina Leonardo Rosales,"(-62.00113077272727, -38.777697999999994)",7.042857142857143,7.9772727272727275,19.57894736842105,23.736842105263158,57.0
Corpen Aike,"(-68.94049661290322, -49.95996563419359)",9.751612903225807,8.02,21.2,7.466666666666667,71.6
Curacó,"(-65.81282061615386, -38.02051284615384)",2.4384615384615382,8.1875,9.428571428571429,10.714285714285714,80.0
Curuzú Cuatiá,"(-58.44322696341465, -29.537337109756113)",7.610975609756098,7.218048780487805,27.64,28.186666666666667,44.36
Cushamen,"(-71.08179489904764, -42.415794951428566)",20.40952380952381,7.784285714285715,25.142857142857142,14.642857142857142,60.357142857142854
Daireaux,"(-61.90186133333333, -36.56371008333333)",5.9750000000000005,8.799999999999999,16.5,29.5,54.083333333333336
Deseado,"(-67.92879034318182, -47.03134279500001)",13.984090909090908,7.996551724137931,14.181818181818182,12.318181818181818,73.5909090909091
Diamante,"(-60.456486400000045, -32.13530008275863)",9.444827586206896,7.2764827586206895,35.53900709219858,55.94285714285714,8.428571428571429
Dolores,"(-57.49283902205886, -36.42384799705885)",23.40869565217391,8.344117647058823,40.774193548387096,38.83870967741935,20.419354838709676
Dr. Manuel Belgrano,"(-65.31593149999999, -24.1182345)",13.86,,9.0,50.5,40.5
El Carmen,"(-65.054304177, -24.497715299999996)",8.16,7.444444444444445,18.0,40.857142857142854,41.142857142857146
El Cuy,"(-68.26295602240003, -39.72335792639998)",3.432,7.55,14.46,25.8,59.74
Eldorado,"(-54.44074207142859, -26.24988514285715)",6.246153846153846,5.526666666666666,48.125,32.25,20.125
Empedrado,"(-58.703895313043525, -27.837520256521728)",5.123043478260869,6.597869565217391,28.02173913043478,18.491304347826087,53.60434782608696
Escalante,"(-67.95987665333334, -45.80209876444445)",6.125,8.216666666666667,20.22222222222222,8.444444444444445,71.33333333333333
Esquina,"(-59.266664053892164, -30.081708670658667)",7.1006024096385545,6.925329341317365,23.86060606060606,31.206060606060607,44.93333333333333
Exaltación de la Cruz,"(-59.13908929411764, -34.293756205882374)",10.585294117647058,6.634411764705882,39.3448275862069,50.89655172413793,9.931034482758621
Famaillá,"(-65.44916650000002, -27.001944500000004)",8.2,5.9125,6.625,41.125,52.375
Federación,"(-58.23400345483873, -30.57264085645163)",10.023333333333333,6.9393548387096775,28.975609756097562,52.926829268292686,18.024390243902438
Federal,"(-58.811733656565664, -30.926178464646505)",12.707368421052632,6.974242424242425,39.896907216494846,58.93814432989691,1.1649484536082475
Feliciano,"(-58.69866060384614, -30.46000000000001)",11.718421052631578,6.9884615384615385,38.935064935064936,59.36363636363637,1.896103896103896
Figueroa,"(-63.51332031199999, -27.416665158000004)",9.606666666666666,7.766666666666667,26.4,44.46666666666667,28.866666666666667
Florentino Ameghino,"(-63.91130952285714, -39.016507999999995)",5.514285714285714,8.0,22.285714285714285,26.285714285714285,51.714285714285715
Formosa,"(-58.368882600000006, -26.042527999999997)",27.2,6.4,,,
Futaleufú,"(-71.44073444833332, -42.91802834666667)",25.34166666666667,6.5042857142857144,18.72222222222222,22.944444444444443,58.44444444444444
Gaiman,"(-65.854681, -43.343472500000004)",10.05,8.1,,,
Garay,"(-60.0, -31.0)",3.0625,7.125,24.25,62.625,13.375
General Alvarado,"(-58.07952927222222, -38.22005669444444)",11.727777777777778,7.4944444444444445,26.941176470588236,34.411764705882355,38.529411764705884
General Alvear,"(-61.435380207547134, -34.338731471698125)",5.947826086956522,7.273000000000001,26.666666666666668,26.424242424242426,47.06060606060606
General Arenales,"(-61.25435858823528, -34.22352826797387)",8.573825503355705,7.0366013071895415,21.39455782312925,37.78231292517007,40.97278911564626
General Belgrano,"(-62.47359244705886, -33.13288562549021)",7.451162790697674,7.618039215686274,19.711111111111112,34.955555555555556,45.266666666666666
General Guido,"(-58.02972222, -36.45)",15.4,7.56,27.4,28.6,44.0
General Güemes,"(-64.96726849333335, -24.73830866666667)",9.666666666666666,7.788888888888888,24.5,36.0,39.5
General José de San Martín,"(-63.77143369416668, -22.709650777500006)",11.9125,7.333333333333333,18.88888888888889,29.166666666666668,51.44444444444444
General Juan Facundo Quiroga,"(-67.3701, -30.590099999999996)",2.3000000000000003,8.366666666666667,9.333333333333334,39.666666666666664,50.666666666666664
General Juan Madariaga,"(-57.203223366666606, -37.139401733333344)",19.447727272727274,8.038333333333334,35.310344827586206,34.775862068965516,30.06896551724138
General La Madrid,"(-61.190530200000005, -37.20893860000002)",9.263333333333332,7.62,26.857142857142858,42.42857142857143,30.857142857142858
General Las Heras,"(-59.05332652631578, -34.81617447368421)",9.215789473684211,7.122105263157894,24.0,61.5,14.5
General Lavalle,"(-56.9282091142857, -36.60265659028573)",13.758333333333333,7.997142857142856,25.78125,18.5,55.75
General López,"(-61.54511782014394, -33.829149784172685)",7.5311111111111115,7.053237410071942,23.58992805755396,53.33812949640288,23.27338129496403
General Manuel Belgrano,"(-53.89213821212123, -26.008588666666654)",12.76969696969697,4.757586206896551,64.10714285714286,23.178571428571427,12.785714285714286
General Obligado,"(-59.691137124999955, -29.094353738636382)",6.736781609195402,6.740579710144928,34.333333333333336,48.411764705882355,16.485294117647058
General Paz,"(-58.31810147777777, -35.06477225555556)",9.19041095890411,8.03111111111111,32.733333333333334,43.32222222222222,24.066666666666666
General Pedernera,"(-65.41868525278811, -33.605477182156136)",5.4772727272727275,7.733333333333333,8.381443298969073,18.628865979381445,73.26804123711341
General Pueyrredón,"(-57.9199305, -37.953367625000006)",26.575,6.6125,24.875,33.375,41.875
General Roca,"(-66.3031077113433, -37.02347810940301)",5.829752066115702,7.5396825396825395,10.382716049382717,22.91358024691358,66.80246913580247
General Rodríguez,"(-58.96087915789473, -34.64052963157894)",7.478947368421053,7.5963157894736835,21.0625,71.6875,7.5
General San Martín,"(-63.549500723050876, -32.363043163728825)",8.191836734693878,7.558474576271187,18.982456140350877,59.85964912280702,21.24561403508772
General Taboada,"(-62.46423624999999, -28.618544285714297)",5.989285714285714,,20.466666666666665,59.86666666666667,19.933333333333334
General Viamonte,"(-61.2025, -35.019583499999996)",8.309999999999999,7.489999999999999,23.4,32.5,44.4
General Villegas,"(-62.98975362812503, -34.620590625000006)",4.982758620689655,7.721875,18.8125,38.03125,43.25
Gobernador Dupuy,"(-65.4138202921687, -35.47492051807231)",6.0126506024096384,7.596666666666667,6.641860465116279,23.6,69.89767441860465
Goya,"(-59.27500812408763, -29.45228804622871)",3.8639902676399025,6.110738916256158,16.7911227154047,18.989556135770236,64.36553524804178
Graneros,"(-65.41190471428571, -27.633333285714283)",14.142857142857142,,,,
Guachipas,"(-65.41875, -25.897917000000003)",3.7,,22.625,33.0,44.375
Gualeguay,"(-59.54067127380953, -32.85434897083336)",9.97710843373494,6.750595238095237,35.579268292682926,50.88414634146341,13.591463414634147
Gualeguaychú,"(-58.8164598500001, -32.97785540000001)",10.785064935064936,7.2928749999999996,34.7,45.21333333333333,20.02
Guaminí,"(-62.506366454545464, -37.050486909090914)",12.018181818181818,6.954545454545454,22.428571428571427,28.285714285714285,49.57142857142857
Guaraní,"(-54.41243209090907, -26.965450090909087)",7.393939393939394,4.576666666666667,74.48484848484848,18.12121212121212,7.7272727272727275
Guasayán,"(-65.07789860869565, -28.06884056521738)",8.721739130434782,,12.380952380952381,53.30434782608695,35.391304347826086
Guatraché,"(-63.71666700000001, -37.3416665)",8.283333333333333,7.533333333333334,14.666666666666666,25.0,60.666666666666664
Güer Aike,"(-70.47706425192311, -51.45417219192307)",17.50576923076923,7.01,20.2972972972973,17.944444444444443,63.48717948717949
Hipólito Yrigoyen,"(-61.61906875, -36.280995)",7.775,7.7,15.75,26.25,58.25
Hucal,"(-63.82040000040002, -38.01729994639999)",8.7,8.233333333333333,14.8,29.066666666666666,56.13333333333333
Huiliches,"(-71.24375195454542, -39.75050777272728)",36.045,6.659999999999999,15.5,24.857142857142858,58.214285714285715
Humahuaca,"(-65.371148, -22.994637)",3.1500000000000004,,,,
Iglesia,"(-69.22581999999998, -30.207839999999994)",4.319999999999999,8.266666666666667,15.466666666666667,27.2,57.4
Iguazú,"(-54.47262749999999, -25.928033222222222)",11.43888888888889,5.432727272727273,57.4,33.1,9.4
Independencia,"(-60.785275000000006, -26.736301)",14.525,,,,
Iriondo,"(-61.33838690399994, -32.76261032880001)",6.392622950819672,7.307113402061855,31.431578947368422,64.33684210526316,4.3052631578947365
Iruya,"(-65.22, -22.87)",11.666666666666666,,44.333333333333336,13.333333333333334,42.333333333333336
Ischilín,"(-64.27751489473685, -30.683493578947367)",18.426666666666666,7.503157894736842,17.72222222222222,31.0,51.333333333333336
Islas del Ibicuy,"(-59.10321375744675, -33.555504421276595)",16.425324675324674,6.96,25.478632478632477,37.8034188034188,36.80769230769231
Itatí,"(-58.031202208333326, -27.350032374999998)",5.8500000000000005,7.097916666666666,16.5,16.375,67.29166666666667
Ituzaingó,"(-56.53523620805371, -27.61187175167786)",12.458865248226951,5.074468085106383,24.82962962962963,25.822695035460992,50.5531914893617
Juan Felipe Ibarra,"(-62.41830061411767, -28.00033993764706)",6.770588235294118,7.045,13.5625,53.4375,33.0625
Juan Martín de Pueyrredón,"(-66.53841488154275, -33.639917920110186)",5.640056022408964,8.056396648044693,13.273885350318471,28.547770700636942,58.261146496815286
Junín,"(-62.401393777661724, -33.706025721392976)",8.4,7.416417910447762,18.575581395348838,41.633720930232556,39.95348837209303
Juárez Celman,"(-63.45816249999999, -33.274233928571434)",8.867857142857144,7.864285714285714,11.977272727272727,39.43181818181818,48.68181818181818
Jáchal,"(-68.46537835391302, -30.614378270869555)",2.926086956521739,8.443478260869565,15.818181818181818,45.59090909090909,38.72727272727273
La Caldera,"(-65.4, -24.629861109999997)",7.0,6.175,23.428571428571427,36.42857142857143,40.142857142857146
La Candelaria,"(-65.140278, -26.071139)",7.2749999999999995,8.05,,,
La Capital,"(-60.71874372727271, -31.3892235)",4.418181818181818,6.8159090909090905,29.454545454545453,57.52272727272727,13.068181818181818
La Paz,"(-59.8764746352658, -30.891509188647372)",12.54368932038835,7.1892941176470595,36.156976744186046,55.0406976744186,8.778409090909092
La Viña,"(-65.49779140983603, -25.309011819672133)",7.062295081967213,,20.62295081967213,45.49180327868852,33.885245901639344
Lago Argentino,"(-72.57039189762378, -49.532095100396056)",33.620253164556964,6.021951219512196,15.06060606060606,21.166666666666668,62.0
Lago Buenos Aires,"(-70.34555555500002, -47.19239577)",46.45,7.322222222222223,19.0,11.307692307692308,69.84615384615384
Languiñeo,"(-70.55275380500001, -43.69089149999999)",8.2875,8.142,12.0,12.5,75.5
Laprida,"(-60.75870288333335, -37.47383156466667)",8.315254237288135,8.473584905660378,23.959183673469386,34.61224489795919,41.48979591836735
Las Colonias,"(-60.90470855357148, -31.094886857142875)",5.0396226415094345,6.9782142857142855,35.833333333333336,56.74074074074074,7.592592592592593
Las Heras,"(-68.73551100000002, -32.502434272727264)",4.554545454545455,8.76,,,
Lavalle,"(-60.199931782051266, -29.44151792307691)",3.5461538461538464,5.985070422535212,15.485294117647058,13.720588235294118,71.04411764705883
Leales,"(-65.155639, -27.218083)",7.275,8.015,,,
Leandro N. Alem,"(-55.7940242105263, -28.092057815789477)",14.18,5.633333333333334,47.65714285714286,24.84285714285714,27.428571428571427
Ledesma,"(-64.68432250000001, -23.885296)",19.5,,46.0,38.0,16.0
Libertador General San Martín,"(-63.66467110526313, -31.566973723684214)",16.89342105263158,7.1112676056338024,19.023255813953487,45.95348837209303,35.16279069767442
Lihuel Calel,"(-65.05786814791665, -38.501112426249996)",4.841666666666667,8.346666666666668,9.8,16.0,74.26666666666667
Limay Mahuida,"(-66.47435884615385, -37.23589757692309)",3.457692307692308,8.540000000000001,5.714285714285714,11.071428571428571,83.28571428571429
Lincoln,"(-61.945901, -35.412888)",4.7,8.625,21.0,32.0,47.75
Lobería,"(-58.58399154838711, -38.233735899354826)",12.85483870967742,7.729032258064516,27.678571428571427,34.0,38.285714285714285
Lobos,"(-59.08380550000001, -35.199736249999994)",16.841666666666665,7.46,29.5,41.833333333333336,28.5
Loncopué,"(-70.1143392857143, -38.09178378928572)",5.130769230769231,7.32,18.821428571428573,15.571428571428571,65.53571428571429
Los Andes,"(-66.55, -24.37)",4.5,6.3,14.5,27.0,58.5
Los Lagos,"(-71.15, -41.0)",14.7,,4.0,25.5,70.5
Loventué,"(-65.41266196249998, -36.60972222222222)",4.574999999999999,8.473684210526315,6.6875,17.9375,75.5
Luján,"(-59.20942182142858, -34.56818164285714)",8.660714285714286,6.9750000000000005,30.23076923076923,56.19230769230769,13.73076923076923
Luján de Cuyo,"(-68.87802550000002, -33.23428499999999)",4.46875,8.1325,4.75,38.25,57.0
Lácar,"(-71.2218110294118, -40.23533105882352)",39.98529411764706,,8.625,23.666666666666668,67.875
Magallanes,"(-67.88205138461538, -48.89529914461539)",14.3,8.033333333333333,30.3,12.4,57.3
Magdalena,"(-57.750395129811295, -35.25529839396227)",12.044444444444444,8.116981132075471,30.423076923076923,46.32692307692308,23.384615384615383
Maipú,"(-62.40720011111111, -34.98339088888889)",7.325,7.837777777777778,28.8,30.8,40.8
Malargüe,"(-69.00028549999999, -35.79516649999999)",10.025,,,,
Mar Chiquita,"(-57.30859009368421, -37.573218503157904)",14.094117647058823,8.010526315789475,15.083333333333334,23.916666666666668,61.416666666666664
Maracó,"(-63.4, -35.633333)",1.4666666666666668,,,,
Marcos Juárez,"(-62.24413705232564, -32.980580366279064)",6.962209302325581,7.483802816901409,18.810344827586206,55.793103448275865,25.50862068965517
Matacos,"(-61.88199422857142, -23.943405214285725)",8.091836734693878,7.4871428571428575,23.56923076923077,35.69230769230769,40.63076923076923
Mercedes,"(-59.10558356310681, -33.42720989320394)",8.814563106796117,7.533398058252427,29.35,55.22,15.58
Metán,"(-64.40989874590163, -25.336853581967244)",7.979338842975206,7.653571428571428,19.59633027522936,40.04587155963303,42.932038834951456
Minas,"(-70.76385283116889, -36.94783558441561)",19.224999999999998,5.25,22.75,30.93421052631579,46.23684210526316
Mitre,"(-62.8666665, -29.483333500000004)",4.6875,,16.0,36.5,47.5
Monte,"(-58.83304954545454, -35.47178727272727)",12.200000000000001,7.954545454545454,27.818181818181817,43.81818181818182,29.0
Monte Caseros,"(-57.97052742857142, -30.065008142857142)",12.585714285714285,6.317142857142857,50.2,40.8,9.2
Montecarlo,"(-54.62337434375002, -26.63077087499999)",9.2875,5.3359375,62.24,20.84,17.04
Monteros,"(-65.51336731481481, -27.177955833333332)",5.653703703703704,6.496,10.6,43.66,45.82
Moreno,"(-61.93116980722888, -27.12473961445784)",8.053012048192771,7.889642857142857,25.27710843373494,55.40963855421687,19.397590361445783
Mártires,"(-67.14989166666668, -43.86311066666667)",4.166666666666667,8.4,30.333333333333332,18.166666666666668,51.666666666666664
Navarro,"(-59.46361649891304, -35.042372584782626)",8.592307692307692,7.518478260869566,24.802197802197803,51.252747252747255,24.0989010989011
Necochea,"(-59.10970649999999, -38.48122209761904)",14.431707317073172,7.161904761904762,23.10810810810811,27.27027027027027,50.0
No determinado,"(-66.41972222, -45.06972222)",4.0,7.825,37.75,17.75,44.5
Nogoyá,"(-59.89205580645159, -32.27103524193547)",11.024193548387096,7.296612903225806,41.440677966101696,55.03389830508475,3.559322033898305
Oberá,"(-55.02940533333333, -27.43638033333333)",11.533333333333333,4.828888888888889,68.0,21.0,11.428571428571429
Ojo de Agua,"(-63.84641030769232, -29.26019235846155)",10.553846153846154,7.58,4.615384615384615,39.38461538461539,56.0
Olavarría,"(-60.3723192, -36.96402198266667)",17.31590909090909,7.831333333333332,33.69047619047619,36.0,30.547619047619047
Orán,"(-64.37437657142861, -23.38990759523809)",8.402777777777779,7.672000000000001,16.5625,31.125,56.1
Paraná,"(-60.127665397351045, -31.65052430463576)",11.444370860927151,7.276275862068965,40.035714285714285,57.25714285714286,2.8642857142857143
Paso de Indios,"(-68.70648911, -44.020229)",8.25,8.266666666666667,28.5,17.166666666666668,54.5
Paso de los Libres,"(-57.21474580000002, -29.570522933333326)",7.846666666666667,4.724666666666667,19.3,42.7,38.3
Patagones,"(-62.91745163436619, -40.11545219323945)",5.803030303030303,8.188732394366196,15.548387096774194,19.370967741935484,64.98387096774194
Pehuajó,"(-61.819859, -35.616208)",7.875,7.725,17.0,21.25,61.75
Pellegrini,"(-64.17993691363637, -26.089848590909096)",16.95909090909091,7.859999999999999,26.61904761904762,50.57142857142857,22.952380952380953
Pergamino,"(-60.566050706674886, -33.85220088841075)",7.7469437652811735,7.0955990220048895,29.07537688442211,59.768844221105525,11.28140703517588
Pichi Mahuida,"(-64.43199295180722, -38.99691740963855)",4.891666666666667,8.522972972972974,13.443037974683545,23.68354430379747,62.949367088607595
Picunches,"(-70.45501399999999, -38.616506333333334)",9.016666666666667,6.4,22.0,13.5,65.25
Picún Leufú,"(-69.34284725, -39.25770825)",2.2875,,21.875,19.625,58.5
Pila,"(-58.37327643722225, -36.10000002574071)",10.335714285714285,8.141481481481481,31.03921568627451,33.68627450980392,35.31372549019608
Pilar,"(-58.970591, -34.4040442)",7.55,6.7299999999999995,29.6,63.8,6.9
Pilcaniyeu,"(-70.40982219230766, -40.82291696153845)",3.9615384615384617,,10.692307692307692,28.03846153846154,61.5
Pirané,"(-59.320233312195114, -25.900015960975573)",9.635121951219512,6.898492462311558,32.450980392156865,46.333333333333336,21.323529411764707
Pocito,"(-68.59078152923077, -31.676716384615386)",19.06923076923077,7.648333333333333,34.25,53.5,12.25
Pomán,"(-66.26972222, -27.89972222)",1.0,8.5,9.0,15.5,75.5
Presidente Roque Sáenz Peña,"(-63.22112249999999, -34.1024)",6.921428571428572,7.2299999999999995,12.631578947368421,29.07894736842105,58.39473684210526
Puelén,"(-67.7862142857143, -37.58894693619047)",2.4166666666666665,8.4015,8.3125,9.9375,81.8125
Punta Indio,"(-57.25103000000001, -35.310816749999994)",17.28,7.718333333333334,39.25,34.166666666666664,26.583333333333332
Puán,"(-62.92686393333335, -37.80659815533334)",9.985714285714286,7.276666666666667,23.458333333333332,26.916666666666668,49.625
Quebrachos,"(-63.016667, -29.566667)",6.575,,19.0,44.25,36.75
Quemú Quemú,"(-63.416667, -36.083333)",4.9,,,,
Ramallo,"(-60.05658103680002, -33.60090917360002)",7.330208333333334,6.941,33.66315789473684,60.02105263157895,6.4
Rancul,"(-64.84166666705882, -35.46470602029414)",6.747058823529412,7.409090909090909,13.636363636363637,29.045454545454547,57.40909090909091
Rauch,"(-59.02942522727273, -36.47721709090909)",13.206666666666667,8.391818181818183,37.1578947368421,36.1578947368421,26.736842105263158
Rawson,"(-65.009839, -42.965989)",4.65,8.816666666666666,,,
