layer_id,profile_identifier,layer_identifier,top,bottom,designation,bulk_density,ca_co3,coarse_fragments,ecec,conductivity,organic_carbon,ph,clay,silt,sand,water_retention
111327,Perfil 35150,2060,20,60,S/D,,0,,9,,,6,12,,48,
111328,Perfil 35150,6090,60,90,S/D,,0,,0,,,0,0,,0,
111329,Perfil 35150,90135,90,135,S/D,,0,,0,,,0,0,,0,
111330,Perfil 35150,135155,135,155,S/D,,0,,0,,,0,0,,0,
111331,Perfil 35151,30,0,30,S/D,,0,,14,,,6,18,,39,
111332,Perfil 35151,3060,30,60,S/D,,0,,12,,,6,17,,50,
111333,Perfil 35151,6095,60,95,S/D,,0,,0,,,0,0,,0,
111334,Perfil 35151,95120,95,120,S/D,,0,,0,,,6,26,,33,
111335,Perfil 35151,120135,120,135,S/D,,0,,0,,,0,0,,0,
111336,Perfil 35152,30,0,30,S/D,,0,,13,,,6,15,,33,
111337,Perfil 35152,3065,30,65,S/D,,0,,19,,,6,27,,35,
111338,Perfil 35152,65110,65,110,S/D,,0,,0,,,0,0,,0,
111339,Perfil 35153,30,0,30,S/D,,0,,6,,,6,24,,28,
111340,Perfil 35153,3055,30,55,S/D,,0,,5,,,6,14,,50,
111341,Perfil 35153,55100,55,100,S/D,,0,,0,,,0,0,,0,
111342,Perfil 35153,100130,100,130,S/D,,0,,0,,,0,0,,0,
111343,Perfil 35153,130150,130,150,S/D,,0,,0,,,0,0,,0,
111344,Perfil 35154,25,0,25,S/D,,0,,6,,,6,17,,37,
111345,Perfil 35154,2570,25,70,S/D,,0,,8,,,6,15,,41,
111346,Perfil 35154,70150,70,150,S/D,,0,,0,,,0,0,,0,
111347,Perfil 35155,20,0,20,S/D,,0,,13,,,6,14,,60,
111348,Perfil 35155,2040,20,40,S/D,,0,,7,,,6,8,,77,
111349,Perfil 35155,4090,40,90,S/D,,0,,9,,,6,6,,85,
111350,Perfil 35155,90130,90,130,S/D,,0,,0,,,0,0,,0,
111351,Perfil 35155,130150,130,150,S/D,,0,,0,,,0,0,,0,
111352,Perfil 35156,20,0,20,S/D,,0,,3,,,6,16,,36,
111353,Perfil 35156,2050,20,50,S/D,,0,,6,,,6,16,,40,
111354,Perfil 35156,5080,50,80,S/D,,0,,0,,,0,0,,0,
111355,Perfil 35156,80120,80,120,S/D,,0,,0,,,0,0,,0,
111356,Perfil 35156,120150,120,150,S/D,,0,,0,,,0,0,,0,
111357,Perfil 35157,30,0,30,S/D,,0,,24,,,7,28,,31,
111358,Perfil 35157,3070,30,70,S/D,,0,,21,,,7,28,,33,
111359,Perfil 35157,70120,70,120,S/D,,0,,0,,,0,0,,0,
111360,Perfil 35158,25,0,25,S/D,,0,,9,,,6,19,,38,
111361,Perfil 35158,2580,25,80,S/D,,0,,10,,,6,13,,36,
111362,Perfil 35158,80110,80,110,S/D,,0,,0,,,0,0,,0,
