layer_id,profile_identifier,layer_identifier,top,bottom,designation,bulk_density,ca_co3,coarse_fragments,ecec,conductivity,organic_carbon,ph,clay,silt,sand,water_retention
1,1,1,0,15,Ap,,0,0,22.08,0.21,1.11,6.22,44,39,17,
2,1,2,15,43,Bw,,0,0,20.16,0.17,0.67,6.5,46,41,13,
3,1,3,43,66,C1,,0,0,24.16,0.06,0.05,7.1,38,49,13,
4,1,4,66,100,C2,,0,0,19.52,0.05,0.05,7.11,34,51,15,
5,XJ1,XJ1-1,0,20,S/D,,,,,0.02,13.97,7.41,35,23,42,
6,XJ10,XJ10-1,0,20,S/D,,,,,0.05,13.34,6.58,33,37,30,
7,XJ14,XJ14-1,0,20,S/D,,,,,0.07,13.97,5.88,35,27,38,
8,XJ15,XJ15-1,0,20,S/D,,,,,0.06,13.52,7.79,33,21,46,
9,XJ16,XJ16-1,0,20,S/D,,,,,0.03,27.81,5.45,60,21,18,
10,xJ17,xJ17-1,0,20,S/D,,,,,0.05,15.49,5.78,33,34,34,
11,XJ2,XJ2-1,0,20,S/D,,,,,0.05,11.88,6.08,51,23,26,
12,XJ4,XJ4-1,0,20,S/D,,,,,0.06,34.16,6.98,29,39,32,
13,XJ5,XJ5-1,0,20,S/D,,,,,0.21,11.95,8.32,31,27,42,
14,XJ9,XJ9-1,0,20,S/D,,,,,0.13,13.11,6.01,46,21,32,
15,XR186,XR186-1,0,20,S/D,,,,,0.08,27.9,6.6,62,27,10,
16,XR21,XR21-1,0,20,S/D,,,,,0.06,13.68,5.8,30,33,36,
17,XR36,XR36-1,0,20,S/D,,,,,0.03,31.21,6.1,52,35,12,
18,XR4,XR4-1,0,20,S/D,,,,,0.03,13.98,6.3,28,41,30,
19,XR5,XR5-1,0,20,S/D,,,,,0.01,29.76,6.4,40,35,24,
20,XR6,XR6-1,0,20,S/D,,,,,0.02,13.32,6,30,36,34,
21,XR71,XR71-1,0,20,S/D,,,,,0.03,10.32,5.7,34,41,24,
22,XRJ,XRJ-1,0,20,S/D,,,,,0.02,15.49,5.9,28,43,28,
23,XRJ2,XRJ2-1,0,20,S/D,,,,,0.07,11.89,6.3,29,33,38,
24,54696,P47,0,30,S/D,,0.4,,2,0.04,0.9,5.45,28,39,34,0
25,54710,P61,0,40,S/D,,0.66,,3.83,0.02,0.47,5.47,26,36,38,0
26,55070,P421,0,30,S/D,,7.86,,20.56,5.34,2.03,8.07,24,57,19,0
27,55291,P642,0,40,S/D,,5.2,,8.55,0.04,1.05,5.85,17,19,65,0
28,55973,P1324,0,10,S/D,,6.67,,16.04,0.58,0.63,6.57,24,42,35,0
29,56015,P1366,0,20,S/D,,2.55,,6.83,1.64,1.28,7.4,36,47,17,0
30,56071,P1422,0,40,S/D,,0.43,,4.73,0.03,0.33,4.83,36,26,38,0
31,56747,P2098,0,20,S/D,,4.8,,10.12,0.56,2.07,6.37,11,48,41,0
32,56785,P2136,0,50,S/D,,0.77,,3.7,0.03,1.23,5.43,28,34,37,0
33,63665,1533,0,10,S/D,,,,,0,12,5.5,8,9,83,31.14
34,63665,1534,10,28,S/D,,,,,0,3.3,5.7,6,5,89,
35,63665,1535,28,70,S/D,,,,,0,0.6,5.3,8,0,92,
36,63665,1536,70,100,S/D,,,,,0,0.5,5,6,1,93,
37,63666,1537,0,10,S/D,,,,,0.1,56.6,5,10,23,67,48.86
38,63666,1538,10,25,S/D,,,,,0.1,34.9,5.7,11,17,72,45.69
39,63666,1539,25,56,S/D,,0,,,0.1,14.4,6.7,9,15,77,41.59
40,63666,1540,56,113,S/D,,,,,0,1.7,6.3,7,0,93,22.1
41,63666,1541,113,150,S/D,,,,,0,0.3,6.4,6,3,91,
42,63763,1743,0,2,S/D,,,,,,,,,,,
43,63763,1744,2,6,S/D,,,,,,,,,,,
44,63763,1745,6,20,S/D,,,0,,,24.2,,18,,,50.7
45,63763,1746,20,36,S/D,,,0,,,8.2,,27,,,42.05
46,63763,1747,36,62,S/D,,,0,,,9.3,,28,,,43.05
47,63763,1748,62,95,S/D,,,0,,,,,40,,,43.3
48,63764,1749,0,2,S/D,,,,,,,,,,,
49,63764,1750,2,7,S/D,,,,,,,,,,,
50,63764,1751,7,20,S/D,,,0,,,28.1,,29,,,27.7
51,63764,1752,20,44,S/D,,,2,,,13.5,,23,,,35.65
52,63764,1753,44,71,S/D,,,40,,,6.8,,7,,,33.6
53,63764,1754,71,88,S/D,,,12,,,10.3,,19,,,36.6
54,63764,1755,88,100,S/D,,,,,,6.1,,,,,
55,63765,1756,0,9,S/D,,,,,,,,,,,
56,63765,1757,9,23,S/D,,,,,,,,,,,
57,63765,1758,23,37,S/D,,,,,,,,,,,
58,63765,1759,37,46,S/D,,,3,,,23.3,,29,,,47.5
59,63765,1760,46,56,S/D,,,16,,,12.7,,15,,,43.6
60,63765,1761,56,91,S/D,,,42,,,12.8,,6,,,48
61,63765,1762,91,107,S/D,,,6,,,10.3,,10,,,46.45
62,63766,1763,0,3,S/D,,,,,,,,,,,
63,63766,1764,3,8,S/D,,,,,,,,,,,
64,63766,1765,8,30,S/D,,,,,,,,,,,
65,63766,1766,30,35,S/D,,,3,,,59.3,,21,,,23.9
66,63766,1767,35,40,S/D,,,44,,,30.5,,6,,,24.65
67,63766,1768,40,65,S/D,,,44,,,13.4,,4,,,22.4
68,63766,1769,65,100,S/D,,,40,,,6.1,,5,,,24.9
69,63766,1770,100,110,S/D,,,,,,5.8,,,,,
70,63818,70531,0,14,S/D,,,,,,5,,39,30,31,
71,63818,70532,14,25,S/D,,,,,,,,49,16,35,
72,63818,70533,25,45,S/D,,,,,,,,48,19,33,
73,63819,70534,0,20,S/D,,,,,,33.5,5.7,14,39,47,
74,63819,70535,20,34,S/D,,,,,,9.1,6.4,16,41,43,
75,63819,70536,34,50,S/D,,,,,,1.4,6.9,6,22,72,
76,63821,53190,0,7,S/D,,,,,0.3,9.7,7.2,20,7,73,
77,63821,53191,7,23,S/D,,32,,,0.7,11.9,7.3,53,5,42,
78,63821,53192,23,45,S/D,,240,,,0.6,14,7.8,54,5,41,
79,63821,53193,45,100,S/D,,360,,,0.4,6.8,8.1,39,7,54,
80,63822,53194,0,25,S/D,,,,,,5,8.6,15,31,54,
81,63823,53195,0,17,S/D,,,,,,2,7.9,17,27,56,
82,63823,53196,17,34,S/D,,,,,,2,7.7,15,20,65,
83,63823,53197,34,58,S/D,,,,,,3,7.8,12,21,67,
84,63823,53198,58,100,S/D,,,,,,4,7.7,11,20,69,
85,63824,53199,0,20,S/D,,,,,10.5,22.1,7.3,25,45,30,
86,63824,53200,20,70,S/D,,,,,25.4,8.3,7.9,45,33,22,
87,63824,53201,70,100,S/D,,,,,34.7,4.3,7.4,61,31,8,
88,63825,53202,0,23,S/D,,,,,1.9,20.5,7.9,11,63,26,
89,63825,53203,23,53,S/D,,,,,4.3,3.6,8.2,9,65,26,
90,63825,53204,53,100,S/D,,,,,7.9,2,7.9,8,34,54,
91,63826,53205,0,28,S/D,,,,,3.7,5.6,7.6,14,21,65,
92,63826,53206,28,56,S/D,,44,,,10.5,2.3,8.5,20,20,60,
93,63826,53207,56,100,S/D,,296,,,14.3,2.6,8.3,16,14,70,
94,63827,53208,0,13,S/D,,,,,1,15,7.1,14,48,38,
95,63827,53209,13,50,S/D,,,,,1.6,9.9,7.3,29,51,20,
96,63827,53210,50,80,S/D,,,,,7.2,5.3,7.4,2,35,63,
97,63828,53211,0,25,S/D,,,,,,12.9,6.3,23,25,52,
98,63828,53212,25,48,S/D,,,,,,3.9,6.4,19,24,57,
99,63828,53213,48,100,S/D,,,,,,1.7,6.7,12,24,64,
100,63828,53214,100,120,S/D,,77,,,,0.4,8.1,10,21,69,
101,63829,53215,0,8,S/D,,0,,,6.6,106.7,6.5,51,36,13,
102,63829,53216,8,24,S/D,,1,,,8.6,31,7.7,55,33,12,
103,63829,53217,24,40,S/D,,111,,,5.3,17,8.6,43,38,19,
104,63829,53218,40,65,S/D,,233,,,5.1,4.8,8.8,32,39,29,
105,63829,53219,65,73,S/D,,22,,,3.7,4,8.9,43,47,10,
106,63830,70557,0,7,S/D,,,,,,52,5.3,42,39,18,
107,63831,70562,0,5,S/D,,,,31.6,,44,5.5,32,61,7,
108,63831,70563,5,30,S/D,,,,27.1,,12,5.7,44,48,8,
109,63831,70564,30,45,S/D,,,,32.2,,7,5.8,56,34,10,
110,63831,70565,45,90,S/D,,,,29.9,,3,5.7,63,36,1,
111,63831,70566,90,150,S/D,,,,,,1,7.7,32,62,6,
112,63832,70567,0,15,S/D,,,,,,20,6.5,20,21,59,
113,63832,70568,15,30,S/D,,,,11.7,,8,6,21,21,58,
114,63832,70569,30,50,S/D,,,,15.2,,3,5.6,21,25,54,
115,63832,70570,50,110,S/D,,,,14.5,,1,5.7,23,22,55,
116,63833,70571,0,15,S/D,,,,3.6,,29.5,4.5,,,,
117,63833,70572,15,30,S/D,,,,2.4,,28.5,4.4,,,,
118,63834,70574,0,20,S/D,,,,0.3,,2.2,4.6,3,1,96,
119,63834,70575,20,80,S/D,,,,0.2,,0.6,5.6,4,2,94,
120,63834,70576,80,160,S/D,,,,0.2,,0.5,4.7,2,1,97,
121,63835,70577,0,28,S/D,,,,2.3,,3,5.8,11,4,85,
122,63835,70578,28,60,S/D,,,,2.7,,2.4,5.9,16,4,80,
123,63835,70579,60,120,S/D,,,,3.3,,2.2,4.7,28,5,67,
124,63835,70580,120,190,S/D,,,,3.3,,2.2,4.7,23,6,71,
125,63836,70581,0,20,S/D,,,,1.3,,8,5.2,19,5,76,
126,63836,70582,20,40,S/D,,,,1.1,,6,5.1,22,5,73,
127,63836,70583,40,60,S/D,,,,1.1,,4,5.2,26,5,69,
128,63836,70584,60,100,S/D,,,,0.8,,3,5.4,29,6,65,
129,63836,70585,100,140,S/D,,,,0.8,,3,5.4,29,6,65,
130,63836,70586,140,160,S/D,,,,0.5,,2,5.7,27,6,67,
131,63837,70587,0,20,S/D,,,,5.1,,40.2,5,75,17,8,
132,63837,70588,20,53,S/D,,,,,,23,5,80,14,6,
133,63837,70589,53,75,S/D,,,,,,20.3,5,81,14,5,
134,63837,70590,75,94,S/D,,,,,,12.8,5.1,80,13,7,
135,63837,70591,94,116,S/D,,,,,,6,5.5,80,14,6,
136,63837,70592,116,190,S/D,,,,,,3.2,5.5,78,15,7,
137,63838,70593,0,14,S/D,,,,28.3,,48.3,4.6,61,34,5,
138,63838,70594,14,43,S/D,,,,,,31.8,4.7,64,30,6,
139,63838,70595,43,88,S/D,,,,,,7.4,4.9,58,34,8,
140,63838,70596,88,150,S/D,,,,,,5,4.9,52,35,13,
141,63839,70597,0,35,S/D,,,,,,38.5,4.5,52,35,13,
142,63839,70598,35,41,S/D,,,,,,18.9,4.8,66,27,7,
143,63839,70599,41,56,S/D,,,,,,4.5,4.9,24,49,27,
144,63840,70600,0,25,S/D,,,,18.2,,29,5.2,49,41,10,
145,63840,70601,25,50,S/D,,,,,,2,5.3,41,47,12,
146,63841,70602,0,6,S/D,,,,1.8,,12.8,4.5,33,19,48,
147,63842,70604,0,5,S/D,,,,10,,14,5.7,19,34,47,
148,63842,70605,5,17,S/D,,,,6.1,,4.9,5.1,23,34,43,
149,63842,70606,17,48,S/D,,,,14.2,,3.3,5.3,45,34,21,
150,63842,70607,48,89,S/D,,,,20.2,,1.9,5.3,45,41,14,
151,63842,70608,89,130,S/D,,,,21.3,,0.9,5.4,45,28,27,
152,63842,70609,130,170,S/D,,,,18.1,,0.7,5.4,28,54,18,
153,63843,70610,0,20,S/D,,,,,,2,5.1,20,14,66,
154,63850,70615,0,8,S/D,,,,,,47.6,6.4,55,26,19,
155,63850,70617,26,47,S/D,,,,,,9.5,5.5,57,21,22,
156,63850,70618,47,75,S/D,,,,,,3.1,5.1,61,17,22,
157,63851,70620,0,18,S/D,,,,,,77.3,7.9,78,16,6,
158,63852,70622,0,14,S/D,,,,,,52.9,7.8,64,16,20,
159,63852,70623,14,29,S/D,,,,,,30,8.1,43,9,48,
160,63853,70625,0,3,S/D,,,,,,19.5,7.2,78,17,5,
161,63853,70626,3,18,S/D,,,,,,19.5,7.2,78,17,5,
162,63853,70627,18,42,S/D,,,,,,8,7.2,86,10,4,
163,63854,70630,0,25,S/D,,,,,,58.7,6.3,76,18,6,
164,63854,70631,25,65,S/D,,,,,,12.4,6.5,86,8,6,
165,63855,70634,-6,11,S/D,,,,,,68,3.6,27,56,17,
166,63855,70635,11,15,S/D,,,,,,38.1,3.7,38,46,16,
167,63855,70636,15,20,S/D,,,,,,52.8,3.8,39,47,14,
168,63855,70638,29,62,S/D,,,,,,21.6,4.4,36,48,16,
169,63855,70639,62,160,S/D,,,,,,5.4,4.8,20,46,33,
170,63856,70641,-4,4,S/D,,,,,,40.7,3.8,38,45,17,
171,63856,70642,4,10,S/D,,,,,,40.7,3.8,38,45,17,
172,63856,70643,10,30,S/D,,,,,,27.3,4.1,42,42,16,
173,63856,70644,30,90,S/D,,,,,,6,4.9,34,43,23,
174,63856,70645,90,145,S/D,,,,,,2.2,5.1,31,49,20,
175,63857,70647,-3,17,S/D,,,,,,55.1,8,75,18,7,
176,63857,70648,17,53,S/D,,,,,,15.1,6.6,76,13,11,
177,63857,70649,53,80,S/D,,,,,,6,8.5,63,21,16,
178,63858,70650,0,12,S/D,,,,,,13.2,5.5,12,14,74,
179,63858,70652,28,50,S/D,,,,,,1.8,5.4,19,20,61,
180,63858,70653,50,94,S/D,,,,,,1.2,5.2,19,21,60,
181,63859,70655,0,5,S/D,,,,,,38.7,6,73,21,6,
182,63859,70657,22,72,S/D,,,,,,7.2,5.9,79,13,8,
183,63859,70658,72,140,S/D,,,,,,5.8,6.1,80,12,8,
184,63860,70659,0,13,S/D,,,,,,26.2,8.2,84,13,3,
185,63860,70660,13,68,S/D,,,,,,11.9,8.3,83,14,3,
186,63860,70661,68,96,S/D,,,,,,4.7,8,71,25,4,
187,63861,70664,0,7,S/D,,,,,,47,4.5,18,27,55,
188,63861,70667,27,44,S/D,,,,,,6.5,4.8,29,55,16,
189,63861,70668,44,65,S/D,,,,,,3.5,4.9,21,75,4,
190,63862,70670,0,14,S/D,,,,,,13.8,4.8,18,54,28,
191,63862,70671,14,23,S/D,,,,,,4.9,4.5,24,51,25,
192,63862,70672,23,75,S/D,,,,,,1.9,4.3,55,39,6,
193,63862,70673,75,135,S/D,,,,,,1.5,4.4,45,49,6,
194,63863,70674,0,13,S/D,,,,,,30,7,20,13,67,
195,63863,70675,13,32,S/D,,,,,,10.1,7.4,21,11,68,
196,63863,70677,65,115,S/D,,,,,,1.2,6.5,33,11,56,
197,63863,70678,115,135,S/D,,,,,,1,8.6,40,29,31,
198,63864,70679,0,16,S/D,,,,,,15.6,8.1,59,14,27,
199,63864,70680,16,80,S/D,,,,,,3.3,8.3,63,17,20,
200,63864,70681,80,120,S/D,,,,,,2.6,8.6,62,16,22,
201,63865,70682,0,18,S/D,,,,,,42.3,7.5,57,20,23,
202,63865,70683,18,60,S/D,,,,,,4.2,7.2,66,12,22,
203,63865,70684,60,93,S/D,,,,,,1.3,3.8,66,16,18,
204,63865,70685,93,145,S/D,,,,,,0.8,4,69,16,15,
205,63866,70686,0,14,S/D,,,,,,25.4,4.7,12,15,73,
206,63866,70687,14,36,S/D,,,,,,2.8,4.2,25,14,61,
207,63866,70689,55,110,S/D,,,,,,0.9,4.2,35,10,55,
208,63867,70691,0,8,S/D,,,,,,33.9,7.2,11,15,74,
209,63867,70692,8,26,S/D,,,,,,1.5,7.3,4,12,84,
210,63867,70693,26,42,S/D,,,,,,5.1,7.1,60,6,34,
211,63868,70696,0,9,S/D,,,,,,56.3,6.9,79,15,6,
212,63868,70697,9,34,S/D,,,,,,23.5,5.7,85,10,5,
213,63868,70698,34,65,S/D,,,,,,7.8,6.2,92,4,4,
214,63869,70700,0,9,S/D,,,,,,12.6,5.6,8,31,61,
215,63870,70702,0,15,S/D,,,,,,4.9,8.3,91,8,1,
216,63870,70704,30,40,S/D,,,,,,11.1,8.6,32,64,4,
217,63871,70705,0,12,S/D,,,,,,84,4.8,62,30,8,
218,63871,70706,12,39,S/D,,,,,,32,5.1,73,23,4,
219,63871,70707,39,56,S/D,,,,,,20,4.8,79,18,3,
220,63871,70708,56,72,S/D,,,,,,15,4.8,67,28,5,
221,63871,70709,72,94,S/D,,,,,,10,4.6,61,36,3,
222,63871,70710,94,140,S/D,,,,,,6,4.6,56,38,6,
223,63872,70711,0,14,S/D,,,,,,33,5.3,45,41,14,
224,63872,70712,14,50,S/D,,,,,,17,5.4,71,21,8,
225,63872,70713,50,97,S/D,,,,,,6,5.4,80,15,5,
226,63872,70714,97,135,S/D,,,,,,4,5.6,60,28,12,
227,63872,70715,135,165,S/D,,,,,,2,5.1,68,22,10,
228,63872,70716,165,175,S/D,,,,,,3,5.2,58,25,17,
229,63873,70717,0,20,S/D,,,,,,100,5,24,56,20,
230,63873,70718,20,39,S/D,,,,,,56,5.8,25,55,20,
231,63873,70719,39,53,S/D,,,,,,37,5.8,33,42,25,
232,63873,70720,53,68,S/D,,,,,,17,5.7,38,40,22,
234,65306,70727,-7,20,S/D,,,,,,6.8,4.1,4,6,90,
235,65306,70728,20,50,S/D,,,,,,8.8,4.2,10,4,86,
236,65306,70729,50,90,S/D,,,,,,3.3,5,8,4,88,
237,65306,70730,90,220,S/D,,,,,,4,5,8,4,88,
238,65307,70732,-2,2,S/D,,,,,,65,3.7,12,38,50,
239,65307,70733,2,25,S/D,,,,,,15,4.3,32,40,28,
240,65307,70734,25,55,S/D,,,,,,4.8,4.6,46,40,14,
241,65307,70735,55,80,S/D,,,,,,2.8,4.8,48,24,28,
242,65307,70736,80,140,S/D,,,,,,2.8,4.9,63,27,10,
243,65308,70738,-5,2,S/D,,,,,,77.4,3.6,10,20,70,
244,65308,70739,2,40,S/D,,,,,,6.8,4.7,30,22,48,
245,65308,70740,40,100,S/D,,,,,,2.7,4.9,36,20,44,
246,65308,70741,100,120,S/D,,,,,,1.3,5.2,46,26,28,
247,65309,70742,0,10,S/D,,,,,,19.1,5.9,29,29,42,31.5
248,65309,70743,10,23,S/D,,,,,,10.6,6,26,31,43,34.5
249,65309,70744,23,49,S/D,,,,,,6.9,6.2,14,24,62,24
250,65309,70745,49,100,S/D,,,,,,3.1,5.9,9,25,66,21
251,65310,70746,0,20,S/D,,,,,,19.1,5.8,11,19,70,17.5
252,65310,70747,20,40,S/D,,,,,,7.9,5.8,23,13,64,13
253,65310,70748,40,69,S/D,,,,,,3.2,5.8,24,11,65,12.5
254,65310,70749,69,94,S/D,,,,,,2.6,5.9,22,12,66,12
255,65310,70750,94,115,S/D,,,,,,2.4,6.1,22,15,63,14.5
256,65310,70751,115,160,S/D,,,,,,1.5,6.1,19,17,64,14.5
257,65311,70752,0,18,S/D,,,,,0.2,12.3,6.5,67,23,10,30
258,65311,70753,18,66,S/D,,10,,,0.3,7.5,7.2,68,22,10,34.5
259,65311,70754,66,100,S/D,,10,,,0.5,6.4,8.3,69,21,10,36.5
260,65311,70755,100,123,S/D,,20,,,1,5.3,8.5,72,19,9,31
261,65311,70756,123,159,S/D,,20,,,1.2,4.1,8.3,75,18,7,40
262,65311,70757,159,200,S/D,,40,,,1.7,0.9,8.5,27,32,41,23
263,65312,70758,0,18,S/D,,,,7.8,,32.7,5.1,48,40,12,29
264,65312,70759,18,33,S/D,,,,4.9,,10.5,5.2,51,41,8,30.5
265,65312,70760,33,58,S/D,,,,3.9,,5.3,5.4,50,43,7,30
266,65312,70761,58,79,S/D,,,,3.7,,3.8,5.4,50,44,6,30
267,65312,70762,79,105,S/D,,,,5.9,,2.9,5.1,48,41,11,32
268,65313,70763,0,22,S/D,,,,,,92.4,5.5,30,38,32,
269,65313,70764,22,45,S/D,,,,,,23.8,5.9,18,52,30,
270,65313,70765,45,90,S/D,,,,,,21.5,6.3,16,44,40,
271,65313,70766,90,145,S/D,,,,,,22.1,6.6,12,56,32,
272,65313,70767,145,175,S/D,,,,,,3.5,6.3,14,32,54,
273,65314,70768,0,15,S/D,,,,8.5,,54.7,5.3,77,10,13,
274,65314,70769,15,35,S/D,,,,6,,19,5.6,84,13,3,
275,65314,70770,35,60,S/D,,,,5.6,,15,5.7,92,5,3,
276,65314,70771,60,90,S/D,,,,5.4,,10,5.5,92,5,3,
277,65314,70772,90,140,S/D,,,,5.5,,8,5.6,92,4,4,
278,65314,70773,140,190,S/D,,,,7.1,,5,5.1,91,3,6,
279,65315,70775,5,30,S/D,,,,12.7,,368.9,3.9,16,15,69,50
280,65315,70776,30,37,S/D,,,,18.3,,108.8,4.1,32,48,20,61
281,65315,70777,37,43,S/D,,,,,,43.1,4.9,11,44,45,35.5
282,65315,70778,43,69,S/D,,,,,,26.7,5.3,13,43,44,21
283,65316,70780,0,13,S/D,,,,5.3,,77.7,5,43,29,28,44
284,65316,70781,13,20,S/D,,,,2,,32,5,31,29,40,30
285,65316,70782,20,36,S/D,,,,,,15.2,6.3,,,,30
286,65316,70783,36,51,S/D,,,,,,11.6,5.6,,,,38.5
287,65316,70784,51,78,S/D,,,,,,8.3,5.8,,,,33
288,65316,70785,78,106,S/D,,,,,,5.6,5.7,60,29,11,38.5
289,65316,70786,106,137,S/D,,,,,,3.8,5.5,59,26,15,32
290,65316,70787,137,200,S/D,,,,,,2.7,5.6,59,23,18,34
291,65317,70788,0,7,S/D,,,,15.3,,90.6,5.3,7,26,67,56
292,65317,70789,7,17,S/D,,,,3.4,,34.7,5.4,3,12,85,38.5
293,65317,70790,17,52,S/D,,,,,,4.8,6.1,9,21,70,22
294,65317,70791,52,74,S/D,,,,,,1.4,6.6,18,22,60,24
295,65317,70792,74,120,S/D,,,,,,0.5,6.9,10,15,75,16.5
296,65318,70793,0,16,S/D,,,,,,36.6,5.3,50,31,19,31
297,65318,70794,16,27,S/D,,,,,,17.4,5.7,48,35,17,33
298,65318,70795,27,65,S/D,,,,,,5.2,6.2,68,23,9,36
299,65318,70796,65,106,S/D,,,,,,2.5,6.5,52,30,18,37.5
300,65318,70797,106,174,S/D,,,,,,1.7,6.4,9,19,72,31.5
301,65318,70798,174,200,S/D,,,,,,1,6.9,23,43,34,32
302,65319,70799,0,23,S/D,,,,8.9,,38.4,4.8,38,38,24,38.5
303,65319,70800,23,48,S/D,,,,5.2,,8.7,5.3,38,32,30,33.5
304,65319,70801,48,80,S/D,,,,,,4.9,5.3,36,32,32,31
305,65319,70802,80,106,S/D,,,,3.6,,3.3,5.2,33,34,33,34
306,65319,70803,106,150,S/D,,,,3.6,,1.9,5.1,23,37,40,21.5
307,65320,70804,0,10,S/D,,,,17.3,,52.3,4.9,70,9,21,
308,65320,70805,10,28,S/D,,,,16.3,,25,5.2,81,11,8,
309,65320,70806,28,50,S/D,,,,13.3,,12,5.5,78,14,8,
310,65320,70807,50,75,S/D,,,,13.2,,8,5.6,73,19,8,
311,65320,70808,75,100,S/D,,,,13.8,,8,5.7,69,21,10,
312,65320,70809,100,150,S/D,,,,13.1,,3,5.8,68,21,11,
313,65321,64318,0,34,S/D,,366,,,0.4,27.7,8.2,77,15,8,47.8
314,65321,64319,34,46,S/D,,326,,,0.4,24,8.3,86,7,7,55
315,65321,64320,46,75,S/D,,757,,,0.2,5.5,8.7,41,31,28,
316,65321,64321,75,105,S/D,,852,,,0.2,1.4,9,25,66,9,
317,65321,64322,105,120,S/D,,902,,,0.1,0.5,9.2,14,85,1,
318,65401,70816,0,30,S/D,,,,,,13,5.8,5,14,81,
319,65401,70817,30,60,S/D,,,,,,11,6.6,5,13,82,
320,65401,70818,60,80,S/D,,,,,,6,6.8,23,39,38,
321,65401,70819,80,120,S/D,,,,,,3,7,40,32,28,
322,65402,70822,0,12,S/D,,,,,,21,6.3,37,39,24,
323,65402,70823,12,33,S/D,,,,,,16,6.2,39,37,24,
324,65402,70824,33,49,S/D,,,,,,6,6.4,30,42,28,
325,65402,70825,49,81,S/D,,,,,,2,6.6,17,27,56,
326,65402,70826,81,140,S/D,,,,,,1,6.9,10,24,66,
327,65403,70827,0,25,S/D,,,,,,33,6.1,34,33,33,
328,65403,70828,25,50,S/D,,,,,,22,5.8,46,33,21,
329,65403,70829,50,86,S/D,,,,,,15,5.4,58,28,14,
330,65403,70830,86,124,S/D,,,,,,10,5.3,39,34,27,
331,65403,70831,124,175,S/D,,,,,,4,5.5,18,29,53,
332,65404,70832,0,30,S/D,,,,,,24,5.7,65,19,16,
333,65405,70834,0,20,S/D,,,,,,21,5.6,52,29,19,
334,65405,70835,20,40,S/D,,,,,,16,6,64,26,10,
335,65405,70836,40,61,S/D,,,,,,12,5.8,64,26,10,
336,65405,70837,61,82,S/D,,,,,,10,5.6,66,22,12,
337,65405,70838,82,120,S/D,,,,,,8,5.7,41,24,35,
338,65406,70839,0,27,S/D,,,,,,21,6.2,32,31,37,
339,65406,70840,27,48,S/D,,,,,,12,5.2,75,13,12,
340,65406,70841,48,71,S/D,,,,,,14,5.9,52,24,24,
341,65406,70842,71,120,S/D,,,,,,9,5.3,72,16,12,
342,65407,70843,0,15,S/D,,,,,,15,7.1,47,26,27,
343,65407,70844,15,45,S/D,,,,,,7,7.3,66,22,12,
344,65407,70845,45,90,S/D,,,,,,3,7.7,64,21,15,
345,65408,70847,0,12,S/D,,,,,,16,6.2,26,51,23,
346,65408,70848,12,35,S/D,,,,,,8,6.3,59,33,8,
347,65408,70849,35,66,S/D,,,,,,7,6.9,56,33,11,
348,65408,70850,66,87,S/D,,,,,,4,7.5,44,38,18,
349,65408,70851,87,140,S/D,,,,,,3,7.6,31,30,39,
350,65409,70852,0,13,S/D,,,,,,27,6.7,24,40,36,
351,65409,70853,13,41,S/D,,,,,,12,6.9,26,27,47,
352,65409,70854,41,69,S/D,,,,,,6,7.3,24,22,54,
353,65409,70855,69,85,S/D,,,,,,5,7.9,29,30,41,
354,65409,70856,85,137,S/D,,,,,,3,8.2,23,38,39,
355,65410,70857,0,13,S/D,,,,,,199,4.6,71,22,7,
356,65410,70858,13,27,S/D,,,,,,258,5.8,65,17,18,
357,65410,70859,27,39,S/D,,,,,,279,5.9,48,38,14,
358,65410,70860,39,125,S/D,,,,,,321,5.2,41,35,24,
359,65410,70861,125,143,S/D,,,,,,168,5.7,66,19,15,
360,65411,70862,0,15,S/D,,,,,,22,6.9,71,27,2,
361,65411,70863,15,25,S/D,,,,,,13,7.8,64,34,2,
362,65411,70864,25,46,S/D,,,,,,3,8.4,40,47,13,
363,65412,70865,0,8,S/D,,,,,,34,6.5,72,26,2,
364,65412,70866,8,20,S/D,,,,,,9,6.6,78,20,2,
365,65412,70867,20,45,S/D,,,,,,6,6.3,79,20,1,
366,65412,70868,45,70,S/D,,,,,,3,7.6,79,20,1,
367,65412,70869,70,90,S/D,,,,,,3,8.6,79,20,1,
368,65413,70870,0,15,S/D,,,,,,25,5.8,44,37,19,
369,65413,70871,15,23,S/D,,,,,,6,6.1,26,50,24,
370,65413,70872,23,85,S/D,,,,,,10,7.4,67,26,7,
371,65414,70873,0,3,S/D,,,,,,40,5.3,61,34,5,
372,65414,70874,3,16,S/D,,,,,,15,5.5,71,21,8,
373,65414,70875,16,31,S/D,,,,,,4,5.4,48,43,9,
374,65414,70876,31,80,S/D,,,,,,3,5.4,77,17,6,
375,65414,70877,80,150,S/D,,,,,,2,5.4,50,32,18,
376,65415,70878,0,8,S/D,,,,,,9,8.4,55,29,16,
377,65415,70879,8,25,S/D,,,,,,8,8.8,55,29,16,
378,65416,70880,0,21,S/D,,,,,,27,5.8,49,46,5,
379,65416,70881,21,65,S/D,,,,,,6,6.2,82,13,5,
380,65416,70882,65,92,S/D,,,,,,4,6.8,85,10,5,
381,65416,70883,92,165,S/D,,,,,,6,6.8,88,6,6,
