,cultivo_nombre,anio,departamento_nombre,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kgxha,coords,organic_carbon,ph,clay,silt,sand
31,Sorgo,1983,25 de Mayo,3250.0,3050.0,6950.0,2279.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
32,Trigo total,1983,25 de Mayo,30000.0,30000.0,60000.0,2000.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
33,Trigo total,1983,25 de Mayo,100.0,100.0,95.0,950.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
34,Tung,1983,25 de Mayo,1250.0,1250.0,2125.0,1700.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
35,Té,1983,25 de Mayo,4242.0,4227.0,18176.0,4300.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
36,Yerba mate,1983,25 de Mayo,980.0,715.0,1491.0,2085.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
37,avena,1983,25 de Mayo,6100.0,2000.0,2300.0,1150.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
38,cebada,1983,25 de Mayo,900.0,500.0,480.0,960.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
39,cebada,1983,25 de Mayo,160.0,70.0,75.0,1071.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
40,centeno,1983,25 de Mayo,100.0,,,,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
41,girasol,1983,25 de Mayo,21000.0,21000.0,23100.0,1100.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
42,girasol,1983,25 de Mayo,1100.0,1100.0,990.0,900.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
43,maní,1983,25 de Mayo,11.0,11.0,9.0,818.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
44,maíz,1983,25 de Mayo,25000.0,23500.0,84600.0,3600.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
45,maíz,1983,25 de Mayo,600.0,600.0,834.0,1390.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
46,maíz,1983,25 de Mayo,2600.0,2600.0,3000.0,1154.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
47,maíz,1983,25 de Mayo,300.0,266.0,500.0,1880.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
48,mijo,1983,25 de Mayo,3200.0,2900.0,4660.0,1607.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
49,soja,1983,25 de Mayo,4100.0,4100.0,6900.0,1683.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
50,soja,1983,25 de Mayo,5400.0,5400.0,9600.0,1778.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
51,trigo,1983,25 de Mayo,30000.0,30000.0,60000.0,2000.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
52,trigo,1983,25 de Mayo,100.0,100.0,95.0,950.0,"(-65.8612280238095, -38.00857721428572)",4.279487179487179,7.426923076923076,16.085365853658537,23.817073170731707,60.02439024390244
53,Ajo,1983,9 de Julio,15.0,15.0,98.0,6533.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
54,Algodón,1983,9 de Julio,14000.0,14000.0,18000.0,1286.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
55,Algodón,1983,9 de Julio,20.0,20.0,23.0,1150.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
56,Algodón,1983,9 de Julio,8500.0,8500.0,10200.0,1200.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
57,Avena,1983,9 de Julio,12000.0,3800.0,7980.0,2100.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
58,Avena,1983,9 de Julio,6000.0,200.0,140.0,700.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
59,Cebada cervecera,1983,9 de Julio,800.0,800.0,1600.0,2000.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
60,Cebada forrajera,1983,9 de Julio,400.0,100.0,180.0,1800.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
61,Cebada forrajera,1983,9 de Julio,50.0,0.0,0.0,0.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
62,Cebada forrajera,1983,9 de Julio,800.0,0.0,0.0,0.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
63,Cebolla total,1983,9 de Julio,2.0,2.0,8.0,4000.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
64,Cebolla total,1983,9 de Julio,60.0,60.0,1710.0,28500.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
65,Centeno,1983,9 de Julio,3000.0,900.0,1300.0,1444.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
66,Centeno,1983,9 de Julio,55.0,0.0,0.0,0.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
67,Centeno,1983,9 de Julio,3000.0,100.0,70.0,700.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
68,Cártamo,1983,9 de Julio,15.0,0.0,0.0,0.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
69,Girasol,1983,9 de Julio,12000.0,10000.0,10000.0,1000.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
70,Girasol,1983,9 de Julio,6000.0,3700.0,3290.0,889.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
71,Girasol,1983,9 de Julio,3500.0,3000.0,2600.0,867.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
72,Lino,1983,9 de Julio,5400.0,5400.0,5400.0,1000.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
73,Lino,1983,9 de Julio,3500.0,3500.0,2400.0,686.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
74,Maíz,1983,9 de Julio,35000.0,35000.0,133000.0,3800.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
75,Maíz,1983,9 de Julio,100.0,100.0,160.0,1600.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
76,Maíz,1983,9 de Julio,50.0,0.0,0.0,0.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
77,Maíz,1983,9 de Julio,2000.0,1000.0,2300.0,2300.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
78,Mijo,1983,9 de Julio,1000.0,0.0,0.0,0.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
79,Mijo,1983,9 de Julio,500.0,100.0,70.0,700.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
80,Papa total,1983,9 de Julio,19.0,19.0,190.0,10000.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
81,Soja total,1983,9 de Julio,9200.0,9200.0,20900.0,2272.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
82,Soja total,1983,9 de Julio,100.0,100.0,130.0,1300.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
83,Soja total,1983,9 de Julio,3000.0,3000.0,4800.0,1600.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
84,Sorgo,1983,9 de Julio,3000.0,3000.0,11400.0,3800.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
85,Sorgo,1983,9 de Julio,11050.0,9000.0,19300.0,2144.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
86,Sorgo,1983,9 de Julio,65000.0,53960.0,106000.0,1964.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
87,Trigo total,1983,9 de Julio,50000.0,50000.0,120000.0,2400.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
88,Trigo total,1983,9 de Julio,500.0,450.0,450.0,1000.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
89,Trigo total,1983,9 de Julio,2500.0,2300.0,3030.0,1317.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
90,avena,1983,9 de Julio,12000.0,3800.0,7980.0,2100.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
91,avena,1983,9 de Julio,6000.0,200.0,140.0,700.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
92,cebada,1983,9 de Julio,1200.0,900.0,1780.0,1978.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
93,cebada,1983,9 de Julio,50.0,0.0,0.0,0.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
94,cebada,1983,9 de Julio,800.0,0.0,0.0,0.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
95,centeno,1983,9 de Julio,3000.0,900.0,1300.0,1444.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
96,centeno,1983,9 de Julio,55.0,,,,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
97,centeno,1983,9 de Julio,3000.0,100.0,70.0,700.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
98,girasol,1983,9 de Julio,12000.0,10000.0,10000.0,1000.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
99,girasol,1983,9 de Julio,6000.0,3700.0,3290.0,889.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
100,girasol,1983,9 de Julio,3500.0,3000.0,2600.0,867.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
101,maíz,1983,9 de Julio,35000.0,35000.0,133000.0,3800.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
102,maíz,1983,9 de Julio,100.0,100.0,160.0,1600.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
103,maíz,1983,9 de Julio,50.0,0.0,0.0,0.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
104,maíz,1983,9 de Julio,2000.0,1000.0,2300.0,2300.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
105,mijo,1983,9 de Julio,1000.0,0.0,0.0,0.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
106,mijo,1983,9 de Julio,500.0,100.0,70.0,700.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
107,soja,1983,9 de Julio,9200.0,9200.0,20900.0,2272.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
108,soja,1983,9 de Julio,100.0,100.0,130.0,1300.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
109,soja,1983,9 de Julio,3000.0,3000.0,4800.0,1600.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
110,trigo,1983,9 de Julio,50000.0,50000.0,120000.0,2400.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
111,trigo,1983,9 de Julio,500.0,450.0,450.0,1000.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
112,trigo,1983,9 de Julio,2500.0,2300.0,3030.0,1317.0,"(-62.52683438541671, -33.638823250000016)",8.251041666666667,7.684848484848485,23.33333333333333,35.26923076923077,41.52564102564103
113,Ajo,1983,Adolfo Alsina,6.0,6.0,36.0,6000.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
114,Avena,1983,Adolfo Alsina,14000.0,4000.0,4400.0,1100.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
115,Avena,1983,Adolfo Alsina,320.0,90.0,90.0,1000.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
116,Cebada cervecera,1983,Adolfo Alsina,2000.0,2000.0,3000.0,1500.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
117,Cebada cervecera,1983,Adolfo Alsina,170.0,132.0,80.0,606.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
118,Cebada forrajera,1983,Adolfo Alsina,4000.0,0.0,0.0,0.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
119,Cebada forrajera,1983,Adolfo Alsina,450.0,110.0,114.0,1036.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
120,Cebolla total,1983,Adolfo Alsina,405.0,375.0,8440.0,22507.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
121,Centeno,1983,Adolfo Alsina,25000.0,5000.0,6000.0,1200.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
122,Centeno,1983,Adolfo Alsina,400.0,170.0,123.0,724.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
123,Girasol,1983,Adolfo Alsina,25000.0,24500.0,24500.0,1000.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
124,Maíz,1983,Adolfo Alsina,10000.0,5000.0,15000.0,3000.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
125,Maíz,1983,Adolfo Alsina,800.0,540.0,1600.0,2963.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
126,Mijo,1983,Adolfo Alsina,3200.0,0.0,0.0,0.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
127,Papa total,1983,Adolfo Alsina,75.0,75.0,1100.0,14667.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
128,Sorgo,1983,Adolfo Alsina,12000.0,12000.0,30000.0,2500.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
129,Sorgo,1983,Adolfo Alsina,250.0,240.0,468.0,1950.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
130,Trigo total,1983,Adolfo Alsina,123000.0,119000.0,214200.0,1800.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
131,Trigo total,1983,Adolfo Alsina,2500.0,2500.0,7640.0,3056.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
132,avena,1983,Adolfo Alsina,14000.0,4000.0,4400.0,1100.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
133,avena,1983,Adolfo Alsina,320.0,90.0,90.0,1000.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
134,cebada,1983,Adolfo Alsina,6000.0,2000.0,3000.0,1500.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
135,cebada,1983,Adolfo Alsina,620.0,242.0,194.0,802.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
136,centeno,1983,Adolfo Alsina,25000.0,5000.0,6000.0,1200.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
137,centeno,1983,Adolfo Alsina,400.0,170.0,123.0,724.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
138,girasol,1983,Adolfo Alsina,25000.0,24500.0,24500.0,1000.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
139,maíz,1983,Adolfo Alsina,10000.0,5000.0,15000.0,3000.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
140,maíz,1983,Adolfo Alsina,800.0,540.0,1600.0,2963.0,"(-63.433038088235286, -38.57137276470588)",7.823529411764706,7.034999999999999,17.074074074074073,20.185185185185187,62.851851851851855
